fundus,res
3633243_21015_0_0.png,1
5685629_21016_0_0.png,1
4025920_21015_0_0.png,1
4046823_21016_0_0.png,1
2876257_21015_0_0.png,1
1907260_21015_0_0.png,1
2488562_21015_0_0.png,1
1674048_21016_0_0.png,1
2323635_21016_0_0.png,1
5082641_21016_0_0.png,1
1077014_21016_0_0.png,1
3199291_21015_0_0.png,1
1249696_21016_0_0.png,1
4613776_21016_0_0.png,1
4057063_21016_0_0.png,1
3888932_21016_0_0.png,1
5367966_21016_0_0.png,1
2118306_21015_0_0.png,1
4240372_21016_0_0.png,1
2508017_21016_0_0.png,1
2335510_21016_0_0.png,1
4947845_21016_0_0.png,1
5872140_21016_0_0.png,1
1611196_21016_0_0.png,1
4630264_21015_0_0.png,1
3058018_21016_0_0.png,1
3205799_21015_0_0.png,1
2343432_21016_0_0.png,1
3397195_21015_0_0.png,1
1915924_21016_0_0.png,1
1653506_21016_0_0.png,1
3190929_21015_0_0.png,1
2572169_21016_0_0.png,1
1754491_21015_0_1.png,1
2504876_21016_0_0.png,1
4392107_21015_0_0.png,1
5280519_21016_0_0.png,1
2375169_21015_0_0.png,1
3190941_21016_0_0.png,1
5745725_21016_0_0.png,1
3971668_21015_0_0.png,1
1295154_21016_0_0.png,1
4864000_21016_0_0.png,1
5637331_21016_0_0.png,1
4718925_21015_0_0.png,1
1872544_21016_0_0.png,1
3815131_21016_0_0.png,1
2654111_21016_0_0.png,1
3830496_21015_0_0.png,1
2235012_21016_0_0.png,1
3849684_21015_0_0.png,1
1864609_21015_0_0.png,1
3563319_21015_0_0.png,1
4762066_21015_0_0.png,1
2061416_21015_0_0.png,1
4571343_21015_0_0.png,1
5037854_21015_0_0.png,1
4153555_21016_0_0.png,1
2655294_21015_0_0.png,1
3772880_21015_0_0.png,1
5630854_21016_0_0.png,1
2206690_21015_0_0.png,1
1874599_21015_0_0.png,1
1535107_21015_0_0.png,1
2032093_21016_0_0.png,1
1146315_21015_0_0.png,1
2205594_21016_0_0.png,1
2889087_21016_0_0.png,1
3483403_21015_0_0.png,1
4351665_21015_0_0.png,1
2440104_21015_0_0.png,1
1520973_21015_0_0.png,1
1746870_21016_0_0.png,1
3343657_21016_0_0.png,1
5055287_21016_0_0.png,1
5657136_21016_0_0.png,1
3872853_21016_0_0.png,1
2583364_21015_0_0.png,1
4461459_21016_0_0.png,1
4446942_21015_0_0.png,1
1896688_21016_0_0.png,1
2096726_21015_0_0.png,1
5179047_21015_0_0.png,1
4676748_21016_0_0.png,1
3189089_21016_0_0.png,1
4222841_21015_0_0.png,1
3635316_21015_0_0.png,1
2985439_21016_0_0.png,1
5155665_21016_0_0.png,1
4344001_21016_0_1.png,1
3032316_21016_0_0.png,1
2854520_21015_0_0.png,1
1611076_21016_0_0.png,1
2752546_21016_0_0.png,1
1233660_21015_0_0.png,1
4656136_21015_0_0.png,1
5861809_21015_0_0.png,1
3397075_21015_0_0.png,1
3966740_21015_0_0.png,1
4430808_21016_0_0.png,1
3242965_21016_0_0.png,1
5485410_21016_0_0.png,1
5171812_21015_0_0.png,1
4015513_21016_0_0.png,1
4658183_21016_0_0.png,1
3007549_21016_0_0.png,1
4237860_21016_0_0.png,1
2696416_21015_0_0.png,1
5830458_21015_0_0.png,1
5497769_21015_0_0.png,1
4922046_21016_0_0.png,1
1270920_21015_0_0.png,1
5160052_21015_0_0.png,1
1597607_21016_0_0.png,1
3654294_21016_0_0.png,1
4191052_21015_0_0.png,1
